instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
245,02-09-2011,fall,2011,sep,0,friday,1,2,0.643333,0.604808,0.727083,0.139929,875,3852,4727
222,10-08-2011,fall,2011,aug,0,wednesday,1,1,0.766667,0.684983,0.424167,0.200258,884,3896,4780
247,04-09-2011,fall,2011,sep,0,sunday,0,1,0.709167,0.665429,0.742083,0.206467,2521,2419,4940
366,01-01-2012,spring,2012,Jan,0,sunday,0,1,0.37,0.375621,0.6925,0.192167,686,1608,2294
475,19-04-2012,summer,2012,april,0,thursday,1,1,0.498333,0.493046,0.6125,0.0659292,846,5719,6565
508,22-05-2012,summer,2012,may,0,tuesday,1,2,0.615,0.580825,0.765833,0.118167,819,5254,6073
704,04-12-2012,winter,2012,dec,0,tuesday,1,1,0.475833,0.469054,0.73375,0.174129,551,6055,6606
531,14-06-2012,summer,2012,june,0,thursday,1,1,0.648333,0.624383,0.569583,0.253733,1180,6183,7363
352,18-12-2011,winter,2011,dec,0,sunday,0,1,0.238333,0.245579,0.58625,0.169779,220,2211,2431
250,07-09-2011,fall,2011,sep,0,wednesday,1,3,0.599167,0.544229,0.917083,0.0970208,118,1878,1996
123,03-05-2011,summer,2011,may,0,tuesday,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451
678,08-11-2012,winter,2012,nov,0,thursday,1,1,0.352174,0.341891,0.333478,0.347835,340,4975,5315
165,14-06-2011,summer,2011,june,0,tuesday,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891
624,15-09-2012,fall,2012,sep,0,saturday,0,1,0.608333,0.585867,0.501667,0.247521,3160,5554,8714
593,15-08-2012,fall,2012,aug,0,wednesday,1,1,0.706667,0.654037,0.619583,0.169771,1198,6149,7347
604,26-08-2012,fall,2012,aug,0,sunday,0,2,0.653333,0.595996,0.845833,0.228858,1483,3772,5255
240,28-08-2011,fall,2011,aug,0,sunday,0,1,0.707059,0.647959,0.561765,0.304659,1415,2919,4334
84,25-03-2011,summer,2011,mar,0,friday,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210
503,17-05-2012,summer,2012,may,0,thursday,1,1,0.593333,0.572613,0.52,0.229475,1242,6142,7384
296,23-10-2011,winter,2011,oct,0,sunday,0,1,0.421667,0.422333,0.74125,0.0995125,1619,2762,4381
618,09-09-2012,fall,2012,sep,0,sunday,0,1,0.61,0.578925,0.5475,0.224496,2570,5657,8227
71,12-03-2011,spring,2011,mar,0,saturday,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132
620,11-09-2012,fall,2012,sep,0,tuesday,1,1,0.5775,0.554292,0.52,0.0920542,1070,6697,7767
434,09-03-2012,spring,2012,mar,0,friday,1,2,0.410833,0.397083,0.407083,0.4148,447,4122,4569
99,09-04-2011,summer,2011,april,0,saturday,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455
691,21-11-2012,winter,2012,nov,0,wednesday,1,1,0.353333,0.364892,0.61375,0.103246,615,4531,5146
674,04-11-2012,winter,2012,nov,0,sunday,0,1,0.325833,0.329538,0.532917,0.179108,1201,3906,5107
360,26-12-2011,spring,2011,dec,1,monday,0,1,0.321739,0.315535,0.506957,0.239465,430,887,1317
31,31-01-2011,spring,2011,Jan,0,monday,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501
341,07-12-2011,winter,2011,dec,0,wednesday,1,3,0.41,0.400246,0.970417,0.266175,50,655,705
437,12-03-2012,spring,2012,mar,0,monday,1,1,0.466667,0.459592,0.489167,0.207713,838,4460,5298
95,05-04-2011,summer,2011,april,0,tuesday,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795
128,08-05-2011,summer,2011,may,0,sunday,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333
612,03-09-2012,fall,2012,sep,1,monday,0,1,0.7075,0.661629,0.790833,0.151121,1965,4069,6034
2,02-01-2011,spring,2011,Jan,0,sunday,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801
499,13-05-2012,summer,2012,may,0,sunday,0,1,0.6125,0.585238,0.57625,0.225117,2172,3946,6118
28,28-01-2011,spring,2011,Jan,0,friday,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
90,31-03-2011,summer,2011,mar,0,thursday,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685
309,05-11-2011,winter,2011,nov,0,saturday,0,1,0.326667,0.323854,0.519167,0.189062,1156,2770,3926
74,15-03-2011,spring,2011,mar,0,tuesday,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056
185,04-07-2011,fall,2011,july,1,monday,0,2,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043
710,10-12-2012,winter,2012,dec,0,monday,1,2,0.435833,0.435575,0.925,0.190308,329,4841,5170
172,21-06-2011,fall,2011,june,0,tuesday,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835
418,22-02-2012,spring,2012,feb,0,wednesday,1,1,0.395833,0.392667,0.567917,0.234471,394,4379,4773
227,15-08-2011,fall,2011,aug,0,monday,1,1,0.665833,0.616167,0.712083,0.208954,775,3563,4338
579,01-08-2012,fall,2012,aug,0,wednesday,1,1,0.7175,0.667308,0.6775,0.141179,1074,6506,7580
553,06-07-2012,fall,2012,july,0,friday,1,1,0.828333,0.752533,0.450833,0.146142,1366,4841,6207
608,30-08-2012,fall,2012,aug,0,thursday,1,1,0.706667,0.652779,0.590417,0.0771167,1172,6541,7713
92,02-04-2011,summer,2011,april,0,saturday,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252
627,18-09-2012,fall,2012,sep,0,tuesday,1,2,0.623333,0.565067,0.8725,0.357587,371,3702,4073
371,06-01-2012,spring,2012,Jan,0,friday,1,1,0.334167,0.340267,0.542083,0.167908,307,3791,4098
632,23-09-2012,winter,2012,sep,0,sunday,0,1,0.529167,0.518933,0.467083,0.223258,2454,5453,7907
126,06-05-2011,summer,2011,may,0,friday,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608
424,28-02-2012,spring,2012,feb,0,tuesday,1,1,0.359167,0.353525,0.395833,0.193417,229,4134,4363
709,09-12-2012,winter,2012,dec,0,sunday,0,2,0.384167,0.390146,0.905417,0.157975,441,2787,3228
411,15-02-2012,spring,2012,feb,0,wednesday,1,1,0.348333,0.351629,0.53125,0.1816,141,4028,4169
316,12-11-2011,winter,2011,nov,0,saturday,0,1,0.356667,0.357942,0.552917,0.212062,1275,2792,4067
377,12-01-2012,spring,2012,Jan,0,thursday,1,2,0.3825,0.381938,0.802917,0.180967,269,3828,4097
13,13-01-2011,spring,2011,Jan,0,thursday,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406
633,24-09-2012,winter,2012,sep,0,monday,1,1,0.514167,0.502513,0.492917,0.142404,1001,6435,7436
439,14-03-2012,spring,2012,mar,0,wednesday,1,1,0.5725,0.548617,0.507083,0.115062,997,5315,6312
510,24-05-2012,summer,2012,may,0,thursday,1,1,0.655,0.6067,0.716667,0.172896,1059,5711,6770
731,31-12-2012,spring,2012,dec,0,monday,1,2,0.215833,0.223487,0.5775,0.154846,439,2290,2729
539,22-06-2012,fall,2012,june,0,friday,1,1,0.7775,0.724121,0.57375,0.182842,964,4859,5823
561,14-07-2012,fall,2012,july,0,saturday,0,2,0.703333,0.666042,0.699167,0.143679,2355,4614,6969
239,27-08-2011,fall,2011,aug,0,saturday,0,2,0.68,0.635556,0.85,0.375617,226,889,1115
115,25-04-2011,summer,2011,april,0,monday,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073
443,18-03-2012,spring,2012,mar,0,sunday,0,2,0.4725,0.464,0.81,0.126883,2207,3685,5892
724,24-12-2012,spring,2012,dec,0,monday,1,2,0.231304,0.2589,0.791304,0.0772304,174,746,920
310,06-11-2011,winter,2011,nov,0,sunday,0,1,0.348333,0.362358,0.734583,0.0920542,952,2697,3649
410,14-02-2012,spring,2012,feb,0,tuesday,1,2,0.319167,0.333946,0.50875,0.141179,135,3787,3922
144,24-05-2011,summer,2011,may,0,tuesday,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492
588,10-08-2012,fall,2012,aug,0,friday,1,2,0.715833,0.667942,0.715833,0.238813,1065,4721,5786
15,15-01-2011,spring,2011,Jan,0,saturday,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248
689,19-11-2012,winter,2012,nov,0,monday,1,2,0.380833,0.375621,0.623333,0.235067,449,5050,5499
464,08-04-2012,summer,2012,april,0,sunday,0,1,0.5,0.492425,0.275833,0.232596,2230,2939,5169
55,24-02-2011,spring,2011,feb,0,thursday,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807
431,06-03-2012,spring,2012,mar,0,tuesday,1,1,0.258333,0.255042,0.456667,0.200875,221,3735,3956
209,28-07-2011,fall,2011,july,0,thursday,1,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390
345,11-12-2011,winter,2011,dec,0,sunday,0,1,0.220833,0.253154,0.49,0.0665417,377,2366,2743
441,16-03-2012,spring,2012,mar,0,friday,1,2,0.435833,0.436229,0.842083,0.113192,548,3830,4378
132,12-05-2011,summer,2011,may,0,thursday,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864
381,16-01-2012,spring,2012,Jan,1,monday,0,1,0.19,0.190663,0.5225,0.231358,217,2081,2298
175,24-06-2011,fall,2011,june,0,friday,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991
577,30-07-2012,fall,2012,july,0,monday,1,1,0.730833,0.684987,0.66875,0.153617,1040,6065,7105
192,11-07-2011,fall,2011,july,0,monday,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086
271,28-09-2011,winter,2011,sep,0,wednesday,1,2,0.635,0.575158,0.84875,0.148629,480,3427,3907
408,12-02-2012,spring,2012,feb,0,sunday,0,1,0.1275,0.101658,0.464583,0.409212,73,1456,1529
519,02-06-2012,summer,2012,june,0,saturday,0,1,0.583333,0.566288,0.549167,0.186562,2795,5325,8120
124,04-05-2011,summer,2011,may,0,wednesday,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633
139,19-05-2011,summer,2011,may,0,thursday,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575
671,01-11-2012,winter,2012,nov,0,thursday,1,2,0.365833,0.369942,0.581667,0.157346,466,5520,5986
52,21-02-2011,spring,2011,feb,1,monday,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107
221,09-08-2011,fall,2011,aug,0,tuesday,1,1,0.775,0.724121,0.570417,0.151121,907,3695,4602
113,23-04-2011,summer,2011,april,0,saturday,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036
266,23-09-2011,winter,2011,sep,0,friday,1,2,0.609167,0.522125,0.9725,0.0783667,258,2137,2395
276,03-10-2011,winter,2011,oct,0,monday,1,2,0.384167,0.392046,0.760833,0.0833458,330,3240,3570
273,30-09-2011,winter,2011,sep,0,friday,1,1,0.564167,0.544829,0.6475,0.206475,830,4372,5202
343,09-12-2011,winter,2011,dec,0,friday,1,1,0.290833,0.317542,0.695833,0.0827167,261,3359,3620
257,14-09-2011,fall,2011,sep,0,wednesday,1,1,0.673333,0.6269,0.697083,0.1673,647,4138,4785
183,02-07-2011,fall,2011,july,0,saturday,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119
106,16-04-2011,summer,2011,april,0,saturday,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795
301,28-10-2011,winter,2011,oct,0,friday,1,2,0.330833,0.318812,0.585833,0.229479,456,3291,3747
447,22-03-2012,summer,2012,mar,0,thursday,1,1,0.554167,0.531567,0.83125,0.117562,1334,5537,6871
720,20-12-2012,winter,2012,dec,0,thursday,1,2,0.33,0.335217,0.667917,0.132463,314,3814,4128
555,08-07-2012,fall,2012,july,0,sunday,0,1,0.8225,0.790396,0.57375,0.125629,1203,3469,4672
241,29-08-2011,fall,2011,aug,0,monday,1,1,0.636667,0.607958,0.554583,0.159825,729,3905,4634
231,19-08-2011,fall,2011,aug,0,friday,1,2,0.685,0.633221,0.722917,0.139308,797,3356,4153
154,03-06-2011,summer,2011,june,0,friday,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312
327,23-11-2011,winter,2011,nov,0,wednesday,1,2,0.440833,0.430537,0.757917,0.335825,112,2454,2566
206,25-07-2011,fall,2011,july,0,monday,1,1,0.743333,0.720958,0.757083,0.0908083,568,3272,3840
459,03-04-2012,summer,2012,april,0,tuesday,1,1,0.466667,0.461483,0.396667,0.100133,1348,5424,6772
630,21-09-2012,fall,2012,sep,0,friday,1,1,0.599167,0.571971,0.66875,0.154229,1250,6917,8167
295,22-10-2011,winter,2011,oct,0,saturday,0,1,0.4225,0.425492,0.629167,0.0926667,1499,2809,4308
151,31-05-2011,summer,2011,may,0,tuesday,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982
157,06-06-2011,summer,2011,june,0,monday,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548
466,10-04-2012,summer,2012,april,0,tuesday,1,1,0.446667,0.436233,0.435,0.249375,819,5099,5918
164,13-06-2011,summer,2011,june,0,monday,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020
168,17-06-2011,summer,2011,june,0,friday,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844
146,26-05-2011,summer,2011,may,0,thursday,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677
207,26-07-2011,fall,2011,july,0,tuesday,1,1,0.771667,0.696979,0.540833,0.200258,750,3840,4590
501,15-05-2012,summer,2012,may,0,tuesday,1,2,0.611667,0.576404,0.794583,0.147392,625,4490,5115
189,08-07-2011,fall,2011,july,0,friday,1,2,0.709167,0.670483,0.757917,0.225129,692,3348,4040
325,21-11-2011,winter,2011,nov,0,monday,1,3,0.4475,0.445062,0.91,0.138054,220,2545,2765
619,10-09-2012,fall,2012,sep,0,monday,1,1,0.583333,0.565654,0.50375,0.258713,1118,6407,7525
653,14-10-2012,winter,2012,oct,0,sunday,0,1,0.521667,0.508204,0.640417,0.278612,2080,4559,6639
80,21-03-2011,summer,2011,mar,0,monday,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077
590,12-08-2012,fall,2012,aug,0,sunday,0,1,0.700833,0.644579,0.530417,0.122512,2182,4362,6544
658,19-10-2012,winter,2012,oct,0,friday,1,2,0.563333,0.537896,0.815,0.134954,753,4671,5424
230,18-08-2011,fall,2011,aug,0,thursday,1,1,0.711667,0.662258,0.654583,0.233208,639,3166,3805
642,03-10-2012,winter,2012,oct,0,wednesday,1,2,0.6575,0.599133,0.79375,0.0665458,728,6844,7572
101,11-04-2011,summer,2011,april,0,monday,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348
291,18-10-2011,winter,2011,oct,0,tuesday,1,2,0.5325,0.522721,0.701667,0.110087,637,4111,4748
445,20-03-2012,spring,2012,mar,0,tuesday,1,1,0.560833,0.538533,0.807917,0.121271,1051,5042,6093
693,23-11-2012,winter,2012,nov,0,friday,1,1,0.368333,0.378779,0.56875,0.148021,1603,2307,3910
54,23-02-2011,spring,2011,feb,0,wednesday,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917
392,27-01-2012,spring,2012,Jan,0,friday,1,2,0.425,0.415383,0.74125,0.342667,269,3187,3456
706,06-12-2012,winter,2012,dec,0,thursday,1,1,0.255833,0.258204,0.50875,0.174754,340,5035,5375
730,30-12-2012,spring,2012,dec,0,sunday,0,1,0.255833,0.2317,0.483333,0.350754,364,1432,1796
252,09-09-2011,fall,2011,sep,0,friday,1,2,0.65,0.578946,0.897917,0.124379,417,3127,3544
500,14-05-2012,summer,2012,may,0,monday,1,2,0.573333,0.5499,0.789583,0.212692,342,2501,2843
476,20-04-2012,summer,2012,april,0,friday,1,1,0.526667,0.515775,0.694583,0.149871,1340,5950,7290
272,29-09-2011,winter,2011,sep,0,thursday,1,1,0.616667,0.574512,0.699167,0.172883,653,4186,4839
45,14-02-2011,spring,2011,feb,0,monday,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913
114,24-04-2011,summer,2011,april,0,sunday,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191
25,25-01-2011,spring,2011,Jan,0,tuesday,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
212,31-07-2011,fall,2011,july,0,sunday,0,1,0.805833,0.729796,0.480833,0.164813,1524,2778,4302
170,19-06-2011,summer,2011,june,0,sunday,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744
521,04-06-2012,summer,2012,june,0,monday,1,1,0.5975,0.578283,0.487083,0.284833,1071,5927,6998
33,02-02-2011,spring,2011,feb,0,wednesday,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526
110,20-04-2011,summer,2011,april,0,wednesday,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944
137,17-05-2011,summer,2011,may,0,tuesday,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123
331,27-11-2011,winter,2011,nov,0,sunday,0,1,0.459167,0.4558,0.698333,0.208954,810,2261,3071
223,11-08-2011,fall,2011,aug,0,thursday,1,1,0.7175,0.651521,0.42375,0.164796,812,3980,4792
29,29-01-2011,spring,2011,Jan,0,saturday,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
288,15-10-2011,winter,2011,oct,0,saturday,0,1,0.506667,0.498725,0.483333,0.258083,1899,3318,5217
56,25-02-2011,spring,2011,feb,0,friday,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461
644,05-10-2012,winter,2012,oct,0,friday,1,1,0.615,0.580187,0.6275,0.10635,1516,6640,8156
656,17-10-2012,winter,2012,oct,0,wednesday,1,1,0.455833,0.450108,0.692917,0.101371,979,6482,7461
49,18-02-2011,spring,2011,feb,0,friday,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927
728,28-12-2012,spring,2012,dec,0,friday,1,2,0.253333,0.255046,0.59,0.155471,644,2451,3095
546,29-06-2012,fall,2012,june,0,friday,1,1,0.834167,0.786613,0.48875,0.165417,829,4634,5463
478,22-04-2012,summer,2012,april,0,sunday,0,3,0.396667,0.389504,0.835417,0.344546,120,907,1027
548,01-07-2012,fall,2012,july,0,sunday,0,1,0.815833,0.750629,0.51875,0.168529,1421,4110,5531
64,05-03-2011,spring,2011,mar,0,saturday,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077
414,18-02-2012,spring,2012,feb,0,saturday,0,1,0.346667,0.355425,0.534583,0.190929,1435,2883,4318
385,20-01-2012,spring,2012,Jan,0,friday,1,2,0.2175,0.220958,0.45,0.20275,115,3048,3163
648,09-10-2012,winter,2012,oct,0,tuesday,1,2,0.446667,0.438112,0.761667,0.1903,601,5791,6392
323,19-11-2011,winter,2011,nov,0,saturday,0,1,0.329167,0.324483,0.502083,0.224496,943,2720,3663
452,27-03-2012,summer,2012,mar,0,tuesday,1,1,0.323333,0.315654,0.29,0.187192,531,4571,5102
568,21-07-2012,fall,2012,july,0,saturday,0,3,0.595833,0.549912,0.865417,0.2133,1264,3195,4459
235,23-08-2011,fall,2011,aug,0,tuesday,1,1,0.640833,0.606067,0.455417,0.146763,1281,4614,5895
558,11-07-2012,fall,2012,july,0,wednesday,1,1,0.716667,0.650271,0.633333,0.151733,975,6289,7264
463,07-04-2012,summer,2012,april,0,saturday,0,1,0.4375,0.426129,0.254167,0.274871,3252,3605,6857
425,29-02-2012,spring,2012,feb,0,wednesday,1,2,0.344348,0.34847,0.804783,0.179117,65,1769,1834
643,04-10-2012,winter,2012,oct,0,thursday,1,2,0.6575,0.607975,0.722917,0.117546,891,6437,7328
304,31-10-2011,winter,2011,oct,0,monday,1,1,0.34,0.356063,0.703333,0.10635,362,3307,3669
645,06-10-2012,winter,2012,oct,0,saturday,0,1,0.554167,0.538521,0.664167,0.268025,3031,4934,7965
220,08-08-2011,fall,2011,aug,0,monday,1,1,0.765,0.703283,0.592083,0.192175,846,3480,4326
635,26-09-2012,winter,2012,sep,0,wednesday,1,1,0.635,0.596613,0.630833,0.2444,787,6946,7733
297,24-10-2011,winter,2011,oct,0,monday,1,1,0.463333,0.457067,0.772083,0.118792,699,3488,4187
22,22-01-2011,spring,2011,Jan,0,saturday,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981
421,25-02-2012,spring,2012,feb,0,saturday,0,1,0.290833,0.255675,0.395833,0.421642,317,2415,2732
326,22-11-2011,winter,2011,nov,0,tuesday,1,3,0.416667,0.421696,0.9625,0.118792,69,1538,1607
200,19-07-2011,fall,2011,july,0,tuesday,1,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541
451,26-03-2012,summer,2012,mar,0,monday,1,1,0.445833,0.43875,0.477917,0.386821,795,4763,5558
138,18-05-2011,summer,2011,may,0,wednesday,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855
537,20-06-2012,summer,2012,june,0,wednesday,1,1,0.7825,0.720975,0.592083,0.113812,872,5339,6211
213,01-08-2011,fall,2011,aug,0,monday,1,1,0.771667,0.703292,0.550833,0.156717,729,3537,4266
705,05-12-2012,winter,2012,dec,0,wednesday,1,1,0.438333,0.428012,0.485,0.324021,331,5398,5729
683,13-11-2012,winter,2012,nov,0,tuesday,1,2,0.343333,0.323225,0.662917,0.342046,327,3767,4094
672,02-11-2012,winter,2012,nov,0,friday,1,1,0.355,0.356042,0.522083,0.266175,618,5229,5847
506,20-05-2012,summer,2012,may,0,sunday,0,1,0.620833,0.583967,0.530417,0.254367,2704,4425,7129
595,17-08-2012,fall,2012,aug,0,friday,1,1,0.723333,0.2424,0.570833,0.231354,1483,5665,7148
232,20-08-2011,fall,2011,aug,0,saturday,0,1,0.6975,0.648996,0.674167,0.104467,1914,3277,5191
406,10-02-2012,spring,2012,feb,0,friday,1,2,0.280833,0.293558,0.54,0.116929,227,3604,3831
569,22-07-2012,fall,2012,july,0,sunday,0,2,0.6675,0.623125,0.7625,0.0939208,2544,4866,7410
318,14-11-2011,winter,2011,nov,0,monday,1,1,0.53,0.524612,0.587083,0.306596,595,3891,4486
184,03-07-2011,fall,2011,july,0,sunday,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649
625,16-09-2012,fall,2012,sep,0,sunday,0,1,0.58,0.563125,0.57,0.0901833,2166,5167,7333
623,14-09-2012,fall,2012,sep,0,friday,1,1,0.633333,0.594083,0.6725,0.103863,1379,6630,8009
486,30-04-2012,summer,2012,april,0,monday,1,2,0.464167,0.457696,0.57,0.171638,665,4907,5572
279,06-10-2011,winter,2011,oct,0,thursday,1,1,0.494167,0.480425,0.620833,0.134954,639,4126,4765
21,21-01-2011,spring,2011,Jan,0,friday,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543
171,20-06-2011,summer,2011,june,0,monday,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010
402,06-02-2012,spring,2012,feb,0,monday,1,1,0.282609,0.296426,0.622174,0.1538,206,3578,3784
675,05-11-2012,winter,2012,nov,0,monday,1,1,0.319167,0.308075,0.494167,0.236325,378,4881,5259
567,20-07-2012,fall,2012,july,0,friday,1,2,0.665833,0.613025,0.844167,0.208967,747,5123,5870
177,26-06-2011,fall,2011,june,0,sunday,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305
328,24-11-2011,winter,2011,nov,1,thursday,0,1,0.373333,0.372471,0.549167,0.167304,560,935,1495
199,18-07-2011,fall,2011,july,0,monday,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458
471,15-04-2012,summer,2012,april,0,sunday,0,1,0.606667,0.573875,0.507917,0.225129,2846,4286,7132
614,05-09-2012,fall,2012,sep,0,wednesday,1,1,0.736667,0.708983,0.74125,0.187808,832,6280,7112
267,24-09-2011,winter,2011,sep,0,saturday,0,2,0.606667,0.564412,0.8625,0.0783833,1776,3647,5423
493,07-05-2012,summer,2012,may,0,monday,1,2,0.5375,0.527142,0.664167,0.230721,1008,5265,6273
131,11-05-2011,summer,2011,may,0,wednesday,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182
339,05-12-2011,winter,2011,dec,0,monday,1,2,0.385833,0.393925,0.827083,0.0622083,233,3578,3811
621,12-09-2012,fall,2012,sep,0,wednesday,1,1,0.599167,0.570075,0.577083,0.131846,1050,6820,7870
490,04-05-2012,summer,2012,may,0,friday,1,1,0.6275,0.590917,0.735417,0.162938,1069,5227,6296
573,26-07-2012,fall,2012,july,0,thursday,1,1,0.776667,0.739263,0.596667,0.284813,1036,5825,6861
607,29-08-2012,fall,2012,aug,0,wednesday,1,1,0.685,0.635733,0.552083,0.112562,1177,6520,7697
194,13-07-2011,fall,2011,july,0,wednesday,1,1,0.746667,0.689404,0.631667,0.146133,748,3594,4342
141,21-05-2011,summer,2011,may,0,saturday,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805
417,21-02-2012,spring,2012,feb,0,tuesday,1,1,0.287826,0.295113,0.594348,0.205717,163,3614,3777
477,21-04-2012,summer,2012,april,0,saturday,0,1,0.57,0.542921,0.682917,0.283587,2541,4083,6624
153,02-06-2011,summer,2011,june,0,thursday,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968
695,25-11-2012,winter,2012,nov,0,sunday,0,1,0.245833,0.257583,0.468333,0.1505,309,2115,2424
11,11-01-2011,spring,2011,Jan,0,tuesday,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263
270,27-09-2011,winter,2011,sep,0,tuesday,1,2,0.636667,0.574525,0.885417,0.118171,477,3643,4120
97,07-04-2011,summer,2011,april,0,thursday,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141
211,30-07-2011,fall,2011,july,0,saturday,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475
723,23-12-2012,spring,2012,dec,0,sunday,0,1,0.245833,0.259471,0.515417,0.133083,408,1379,1787
570,23-07-2012,fall,2012,july,0,monday,1,1,0.741667,0.690017,0.694167,0.138683,1135,5831,6966
549,02-07-2012,fall,2012,july,0,monday,1,1,0.781667,0.702038,0.447083,0.195267,904,5323,6227
690,20-11-2012,winter,2012,nov,0,tuesday,1,2,0.374167,0.380667,0.685,0.082725,534,5100,5634
533,16-06-2012,summer,2012,june,0,saturday,0,1,0.631667,0.594708,0.504167,0.166667,2963,4739,7702
682,12-11-2012,winter,2012,nov,1,monday,0,1,0.485,0.475383,0.741667,0.173517,1097,5172,6269
333,29-11-2011,winter,2011,nov,0,tuesday,1,2,0.458333,0.451375,0.830833,0.258092,96,2818,2914
76,17-03-2011,spring,2011,mar,0,thursday,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744
78,19-03-2011,spring,2011,mar,0,saturday,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117
264,21-09-2011,fall,2011,sep,0,wednesday,1,2,0.595,0.550533,0.9,0.0964042,539,3813,4352
150,30-05-2011,summer,2011,may,1,monday,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098
681,11-11-2012,winter,2012,nov,0,sunday,0,1,0.420833,0.421713,0.659167,0.1275,2290,4562,6852
515,29-05-2012,summer,2012,may,0,tuesday,1,1,0.7225,0.672992,0.684583,0.2954,880,4863,5743
687,17-11-2012,winter,2012,nov,0,saturday,0,1,0.325,0.326383,0.545417,0.179729,1313,4316,5629
470,14-04-2012,summer,2012,april,0,saturday,0,1,0.495,0.487996,0.502917,0.190917,2795,4665,7460
565,18-07-2012,fall,2012,july,0,wednesday,1,1,0.793333,0.745583,0.577083,0.137442,799,4914,5713
462,06-04-2012,summer,2012,april,0,friday,1,1,0.403333,0.390767,0.377083,0.300388,1807,4653,6460
254,11-09-2011,fall,2011,sep,0,sunday,0,1,0.653333,0.609229,0.71375,0.115054,1633,3413,5046
370,05-01-2012,spring,2012,Jan,0,thursday,1,1,0.265833,0.278412,0.524167,0.129987,140,3132,3272
